From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,1000.0,0.05008351779340456,0.0109603662753,0.0704069631069
Industry & commerce,Industry & commerce,0,1000.0,0.05008351779340456,0.0109603662753,0.0704069631069
Forest,Forest,0,761.4195231298895,0.051642956342568984,0.0109786052372,0.0742143646703
Recreation areas,Recreation areas,0,1000.0,0.051642956342568984,0.0109786052372,0.0742143646703
Agricultural areas,Agricultural areas,0,851.109622197989,0.05311089285694543,0.010165872116,0.0819478715622
Pastures,Pastures,0,715.8547065737775,0.05356360192777582,0.0100228205832,0.0837949019032
Permanent crops,Permanent crops,0,250.0,0.05356360192777582,0.0100228205832,0.0837949019032
Arable land,Arable land,0,250.0,0.05356360192777582,0.0100228205832,0.0837949019032
Residential,Residential,1,54.41252825119873,0.05799960203281983,0.0106416824514,0.0917905928249
Industry & commerce,Industry & commerce,1,65.24758424985279,0.06659846327973387,0.010722964684,0.112881334779
Forest,Forest,1,23.91735975149315,0.06669854908134212,0.0106316518109,0.113588113649
Recreation areas,Recreation areas,1,65.55814625136699,0.06697893112336926,0.0106156366263,0.114369144677
Agricultural areas,Agricultural areas,1,29.179606750063087,0.06708213185089072,0.0106491989011,0.114459335122
Pastures,Pastures,1,34.249915876083065,0.07430377004037145,0.0111930730703,0.129794059749
Permanent crops,Permanent crops,1,79.024325749306,0.0765781449409011,0.010791417857,0.137488273067
Arable land,Arable land,1,9.830056250525757,0.07845477349212603,0.00905209057147,0.150876480873
Forest,Residential,0,42.9563482495163,0.07978585557707482,0.0089293251001,0.154818013442
Pastures,Residential,0,12.5,0.07978585557707482,0.0089293251001,0.154818013442
Permanent crops,Residential,0,12.5,0.07978585557707482,0.0089293251001,0.154818013442
Arable land,Residential,0,90.48050575098843,0.08066630080053294,0.00882162420395,0.157557630982
Forest,Industry & commerce,0,12.5,0.08066630080053294,0.00882162420395,0.157557630982
Arable land,Industry & commerce,0,53.599466375620395,0.08084918942702304,0.00880209277105,0.158112509712
Forest,Agricultural areas,0,25.0,0.08084918942702304,0.00880209277105,0.158112509712
Residential,Forest,0,12.5,0.08084918942702304,0.00880209277105,0.158112509712
Residential,Recreation areas,0,12.5,0.08084918942702304,0.00880209277105,0.158112509712
Agricultural areas,Forest,0,12.5,0.08084918942702304,0.00880209277105,0.158112509712
Agricultural areas,Pastures,0,12.5,0.08084918942702304,0.00880209277105,0.158112509712
Pastures,Forest,0,12.5,0.08084918942702304,0.00880209277105,0.158112509712
Pastures,Agricultural areas,0,25.0,0.08084918942702304,0.00880209277105,0.158112509712
Pastures,Arable land,0,25.0,0.08084918942702304,0.00880209277105,0.158112509712
Permanent crops,Recreation areas,0,25.0,0.08084918942702304,0.00880209277105,0.158112509712
Permanent crops,Arable land,0,37.38353924943218,0.08139120670860688,0.00890704803839,0.15894277658
Arable land,Forest,0,20.162612375115664,0.08137028337771314,0.00889114434791,0.158969986705
Arable land,Recreation areas,0,55.72809000084121,0.08155354121225551,0.00890713721189,0.159348166971
Arable land,Agricultural areas,0,25.0,0.08155354121225551,0.00890713721189,0.159348166971
Arable land,Pastures,0,79.83738762488433,0.08109919277415549,0.0086705340312,0.159395311779
Arable land,Permanent crops,0,37.69410125094637,0.08116393055795648,0.00861524768674,0.159833587961
Natural areas,Forest,0,81.96601125010517,0.08178900937303304,0.00847354010281,0.162104822919
Recreation areas,Residential,1,5.0,0.08178900937303304,0.00847354010281,0.162104822919
Agricultural areas,Residential,1,4.759747124505786,0.08182047078413512,0.00848300883654,0.162136132778
Permanent crops,Residential,1,5.0,0.08182047078413512,0.00848300883654,0.162136132778
Arable land,Residential,1,16.718427000252362,0.08283429177633543,0.00736233288762,0.170274065003
Airports,Industry & commerce,1,29.179606750063087,0.08326236048171372,0.00733143168981,0.171498742755
Agricultural areas,Industry & commerce,1,13.27424162538906,0.08353981071663129,0.00734862433056,0.172106405139
Arable land,Industry & commerce,1,5.0,0.08353981071663129,0.00734862433056,0.172106405139
Fresh water,Agricultural areas,1,5.0,0.08353981071663129,0.00734862433056,0.172106405139
Mine & dump sites,Forest,1,41.13828662580967,0.08491812613335005,0.00736733523616,0.175458639153
Airports,Permanent crops,1,46.400533624379605,0.084964444057518,0.0073866635385,0.175477792451
Agricultural areas,Forest,1,21.788736126272333,0.08502887619105154,0.00737581327973,0.175693124079
Agricultural areas,Pastures,1,10.0,0.08502887619105154,0.00737581327973,0.175693124079
Agricultural areas,Permanent crops,1,53.599466375620395,0.08756551956683245,0.00741933919678,0.181817102933
Agricultural areas,Arable land,1,23.91735975149315,0.08681353107115505,0.00668028977116,0.183632378822
Pastures,Agricultural areas,1,8.203932499369088,0.08685213578774667,0.00667879281951,0.183736375372
Pastures,Arable land,1,5.0,0.08685213578774667,0.00667879281951,0.183736375372
Permanent crops,Recreation areas,1,26.237921249263934,0.08691365362123153,0.00665637365626,0.184002265772
Permanent crops,Pastures,1,5.0,0.08691365362123153,0.00665637365626,0.184002265772
Permanent crops,Arable land,1,35.56547762572555,0.08759531947816307,0.00673068917322,0.185334852829
Arable land,Recreation areas,1,19.660112501051515,0.0871864836197991,0.00607259338552,0.187603242122
Arable land,Agricultural areas,1,13.776741499453209,0.08812905235936422,0.00603215620258,0.190161849885
Arable land,Pastures,1,4.759747124505786,0.08814699956694928,0.00604035859973,0.190165705919
Arable land,Permanent crops,1,25.735421375199785,0.09309295192129657,0.0065099070823,0.200182844392
