theta_st,FK,FKS,CLU
0.0,0.9392904948232429,0.00041823487771661507,0.0185139336551
0.005,0.9396099561858632,0.0016898433548774093,0.0144514631103
0.01,0.9395152412213209,0.005930296873815187,0.0100296084027
0.015000000000000003,0.938878388433297,0.005562116820051769,0.00646899515868
0.02,0.93868187891976,0.005487344298872244,0.00399276698807
0.025,0.9384197229025727,0.00627086097884317,0.00195066447106
0.030000000000000006,0.9382902962989301,0.00841281805862446,0.00172283339868
0.035,0.9380950300183355,0.009486448647884501,0.00245533670306
0.04,0.9377199594586849,0.008830180965099611,0.00341280326708
0.045,0.9374420310062229,0.007375409875895986,0.00413325390971
0.05,0.9373608521526204,0.009109819511400163,0.00474350792197
0.05500000000000001,0.9372911843723393,0.012330883373939594,0.0050550294581
0.06000000000000001,0.9374423404019832,0.015982657106940287,0.0055862129925
0.065,0.9369186292257978,0.014635211238872044,0.00583531668865
0.07,0.9370528723560099,0.01857519899580527,0.00641029135302
0.075,0.9370423785230728,0.020006310175689608,0.00707619978454
0.08,0.9370404471188554,0.023458245963792018,0.00796165422284
0.085,0.9370400269457118,0.025898078044170082,0.00840402843567
0.09,0.9367283270217224,0.027042109203410374,0.00913351325293
0.095,0.9370652672655614,0.0304117192516706,0.00977861354597
0.1,0.9369690762356141,0.03230814756701688,0.0106431609434
