theta_cp,FK,FKS,CLU
0,0.93480475,0.022230599,0.010170468
0.0025,0.934913696,0.022925504,0.01024596
0.005,0.935016278,0.02361651,0.010295426
0.0075,0.935220922,0.024057063,0.0103774
0.01,0.935381292,0.024987364,0.010414885
0.0125,0.935534265,0.025478396,0.010433667
0.015,0.935719056,0.026074747,0.010497821
0.0175,0.935815845,0.026602263,0.010600609
0.02,0.935960102,0.027144128,0.010672144
0.0225,0.936096406,0.028264724,0.010769029
0.025,0.936330128,0.028908973,0.010875115
0.0275,0.936553138,0.030122242,0.010942908
0.03,0.93676442,0.031418485,0.01109277
0.0325,0.936998009,0.032262047,0.011204715
0.035,0.937250805,0.033493141,0.011334008
0.0375,0.93746897,0.034646688,0.011435509
0.04,0.937711492,0.036183445,0.011564819
0.0425,0.937942661,0.037168795,0.011740926
0.045,0.938200058,0.038904415,0.011889602
0.0475,0.938442983,0.040561451,0.012066045
0.05,0.938720003,0.042436326,0.012235412
