Theta_st,Theta_cp,Theta_it,FK,FKS,CLU
0.198268263,0.05753431,0.031251817,0.924033205,0.062423862,0.027049421
0.019433008,0.017070455,0.013326391,0.939655891,0.007746955,0.007221007
0.133887094,0.085732733,0.020513424,0.93845335,0.068303282,0.016207445
0.127310676,0.206980297,0.020652096,0.8920074,0.045549379,0.018747386
0.232083945,0.148596792,0.046486023,0.876547834,0.049518977,0.042817547
0.225767858,0.203563179,0.000434825,0.879893523,0.056301812,0.044294215
0.174719262,0.159858117,0.035200347,0.896778024,0.051406315,0.020913692
0.234934305,0.155603513,0.048211596,0.871014862,0.048499761,0.043907267
0.035273802,0.190325596,0.038919844,0.796200006,-0.004873183,0.159543315
0.184816548,0.108460977,0.016855482,0.921919732,0.0664616,0.026418597
0.003791963,0.218316844,0.025421569,0.77773878,-0.003884183,0.173496149
0.012652103,0.00922443,0.048023938,0.923424145,-0.0051932,0.046163666
0.017359484,0.059289798,0.042390161,0.920959192,-0.004450074,0.049267288
0.130955737,0.059634433,0.023784195,0.940647385,0.067220947,0.014896759
0.141910734,0.003560156,0.010251198,0.932897042,0.036004299,0.016293268
0.149841401,0.030622939,0.023094889,0.935143184,0.051554717,0.018039269
0.134766061,0.244713866,0.021193565,0.867545274,0.039165568,0.027011
0.234862439,0.145631052,0.041867789,0.880759676,0.053561378,0.043355326
0.052554769,0.201880819,0.047678628,0.78133141,-0.00132375,0.159738179
0.155770266,0.129863526,0.001051357,0.926476461,0.070059779,0.023486061
0.087866262,0.026354172,0.019375527,0.937853997,0.029917435,0.008004864
0.212352755,0.069729304,0.018209632,0.919584228,0.05815033,0.031460083
0.161292054,0.181780558,0.010995591,0.903886255,0.057380571,0.022377631
0.23842683,0.219978378,0.029448189,0.855711311,0.049793153,0.04721457
0.226161032,0.154111964,0.012673339,0.896785993,0.061726005,0.041274722
0.172173979,0.017360479,0.01906911,0.931219091,0.047362181,0.020792757
0.003015771,0.130087654,0.006718372,0.937543616,-0.000203665,0.032992575
0.149726419,0.014957053,0.010274207,0.932683823,0.041637,0.018160009
0.229917967,0.223088339,0.044947302,0.841645623,0.04301273,0.038138392
0.125215945,0.003446904,0.047054721,0.934663877,0.04597969,0.013801872
0.173425889,0.107199803,0.046049764,0.911692147,0.062825072,0.02170884
0.08456983,0.003704657,0.016401975,0.936046227,0.017370215,0.00681096
0.167362099,0.061836974,0.013556759,0.933097159,0.060812493,0.020743398
0.19558547,0.060708532,0.03000588,0.92503898,0.063172897,0.026394869
0.014487949,0.093236654,0.023544895,0.935717663,0.001685391,0.037877741
0.007103772,0.080165228,0.008688892,0.940341444,0.001768504,0.026556025
0.197348374,0.194667265,0.02585338,0.882798875,0.05189892,0.031107701
0.20996288,0.10625945,0.021966099,0.913349073,0.066296726,0.033175439
0.039841888,0.133641816,0.000707296,0.946224061,0.055097353,0.006129948
0.171805278,0.134925299,0.014148756,0.917912204,0.06415325,0.02463388
0.10360581,0.172394655,0.034516309,0.886174618,0.033314882,0.035425
0.081124898,0.043278824,0.031032955,0.940429716,0.044559466,0.008127089
0.231910711,0.244944461,0.01364956,0.857148687,0.051675412,0.04712775
0.176081308,0.112131944,0.020608081,0.92259493,0.064986193,0.024109256
0.135247209,0.226833215,0.025242545,0.873552662,0.036135326,0.022743077
0.137144105,0.176643079,0.04297147,0.876778756,0.035329804,0.02187961
0.026376874,0.058380613,0.039026097,0.930406121,0.00168181,0.040596893
0.124073741,0.149471904,0.047618201,0.88478124,0.034918118,0.025432261
0.09593773,0.03157603,0.038977162,0.939564064,0.045809288,0.009972118
0.132368793,0.113383433,0.019312833,0.933170054,0.068612099,0.016973932
0.083411035,0.170843796,0.024858213,0.903223537,0.04414976,0.031206223
0.066931217,0.079298491,0.032360365,0.944154819,0.048689892,0.009365597
0.131658162,0.124347243,0.032331325,0.923458944,0.065958108,0.012435423
0.066203267,0.037514104,0.026698372,0.939457307,0.034756881,0.005022814
0.238574546,0.152830429,0.042166098,0.875823125,0.05128245,0.045372324
0.241190977,0.220816705,0.048078561,0.837157172,0.041720303,0.042543312
0.008122764,0.011217164,0.020402751,0.93984236,0.005748654,0.017756177
0.069015909,0.028637098,0.020230729,0.938289362,0.027840397,0.005525062
0.087693567,0.2150208,0.049841225,0.788757951,0.007044214,0.134512867
0.086405471,0.022495278,0.017329534,0.937716762,0.028517189,0.007425543
0.028287824,0.030643226,0.039037441,0.938390871,0.008066552,0.02750628
0.165005382,0.03132827,0.039799259,0.932486676,0.059341649,0.018478601
0.118943388,0.03843192,0.000712801,0.936411576,0.041099064,0.014562051
0.195398414,0.067117979,0.010137841,0.925798231,0.058145314,0.026302005
0.005532699,0.05119831,0.046679219,0.9132055,-0.005671463,0.056630679
0.181452146,0.119716568,0.04590192,0.904276351,0.056002206,0.023524398
0.181528504,0.053722829,0.03616085,0.928375067,0.064857379,0.022617955
0.158360841,0.212751331,0.006812949,0.894791238,0.053174693,0.020567912
0.215142927,0.195212085,0.006624334,0.885120582,0.057398701,0.039836786
0.126649784,0.197514121,0.001693972,0.908786799,0.059280861,0.015694595
0.164868981,0.20642852,0.024861702,0.885352929,0.047888569,0.019294866
0.01609094,0.111647897,0.012496633,0.939777506,0.004205418,0.031091046
0.150522936,0.169675785,0.006942885,0.912911695,0.062852229,0.021188188
