theta_cp,FK,FKS,CLU
0,0.91486386,0.071865499,0.010807446
0.0025,0.914969487,0.072000016,0.010715401
0.005,0.915075309,0.071695071,0.010608461
0.0075,0.915237142,0.071365929,0.010463238
0.01,0.91540011,0.07124911,0.01030064
0.0125,0.915629631,0.071457259,0.010108204
0.015,0.915867826,0.071230882,0.009862296
0.0175,0.916151396,0.07113541,0.009533654
0.02,0.916425163,0.070932376,0.009144987
0.0225,0.916734385,0.070894681,0.008718436
0.025,0.917023925,0.070472951,0.008259371
0.0275,0.917331375,0.070195999,0.007748831
0.03,0.917580308,0.069668095,0.007240385
0.0325,0.917810636,0.069376801,0.006790385
0.035,0.918011208,0.06881129,0.006389413
0.0375,0.918198336,0.06822671,0.005978375
0.04,0.918350738,0.067698293,0.005591487
0.0425,0.918421415,0.067084422,0.00521844
0.045,0.918494413,0.066388277,0.005144876
0.0475,0.918546915,0.065876551,0.005151469
0.05,0.918606628,0.065574768,0.005143279
