theta_it,FK,FKS,CLU
0,0.919025397,0.076561377,0.008424404
0.001,0.919073256,0.076621468,0.007883998
0.002,0.91906079,0.076161297,0.007283428
0.003,0.918969713,0.074743305,0.006686149
0.004,0.918782863,0.071729649,0.00600171
0.005,0.918421415,0.067084422,0.00521844
0.006,0.91793103,0.06116697,0.004654282
0.007,0.917288992,0.053800682,0.004149801
0.008,0.916583813,0.046363584,0.00363234
0.009,0.915843025,0.038664963,0.003161993
0.01,0.91518902,0.031986341,0.003293446
0.011,0.914531863,0.025227113,0.004093589
0.012,0.913958828,0.019128237,0.004823731
0.013,0.913403967,0.013788679,0.005455232
0.014,0.91296766,0.009700243,0.006026393
0.015,0.912551376,0.006268488,0.00658767
0.016,0.912151934,0.00349368,0.007134352
0.017,0.911695348,0.000430972,0.007766128
0.018,0.911256062,-0.001688262,0.008650791
0.019,0.910782366,-0.003599611,0.009829535
0.02,0.91026865,-0.005299531,0.011165107
