from,to,y0,y1,y2,xe
Natural areas,Arable land,11.25,0,0,5
Natural areas,Permanent crops,0,0,0,5
Natural areas,Pastures,9.016994374947423,0,0,5
Natural areas,Agricultural areas,0,0,0,5
Natural areas,Residential,11.25,0,0,5
Natural areas,Industry & commerce,0,0,0,5
Natural areas,Recreation areas,0,0,0,5
Natural areas,Forest,48.026657375536274,1.5,0.15000000000000002,5
Arable land,Arable land,291.7960675006309,6.8883707497266045,0.6888370749726604,5
Arable land,Permanent crops,45.0,0.75,0.07500000000000001,5
Arable land,Pastures,64.74508437578865,2.9416855007991534,0.2941685500799153,3
Arable land,Agricultural areas,59.985337251282864,0,0,5
Arable land,Residential,26.237921249263934,0,0,5
Arable land,Industry & commerce,45.0,0,0,5
Arable land,Recreation areas,45.0,0,0,5
Arable land,Forest,37.88603912349633,0,0,5
Permanent crops,Arable land,22.5,14.589803375031543,1.4589803375031545,5
Permanent crops,Permanent crops,642.1292846948343,6.8883707497266045,0.6888370749726604,5
Permanent crops,Pastures,61.80339887498949,3.754747376377488,0.3754747376377488,5
Permanent crops,Agricultural areas,61.80339887498949,0.75,0.07500000000000001,5
Permanent crops,Residential,67.87870774913776,0,0,5
Permanent crops,Industry & commerce,11.25,11.145618000168241,1.1145618000168243,5
Permanent crops,Recreation areas,0,0,0,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,45.0,9.016994374947423,0.9016994374947424,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,500.0,7.5,0.75,5
Pastures,Agricultural areas,11.25,0,0,5
Pastures,Residential,22.5,0,0,5
Pastures,Industry & commerce,19.660112501051515,0,0,5
Pastures,Recreation areas,22.5,0,0,5
Pastures,Forest,0,0,0,5
Agricultural areas,Arable land,11.25,0,0,5
Agricultural areas,Permanent crops,0,0.75,0.07500000000000001,5
Agricultural areas,Pastures,11.25,0,0,5
Agricultural areas,Agricultural areas,1000.0,7.5,0.75,5
Agricultural areas,Residential,22.5,2.6311234992849672,0.26311234992849675,5
Agricultural areas,Industry & commerce,11.25,0,0,5
Agricultural areas,Recreation areas,0,0,0,5
Agricultural areas,Forest,0,0,0,5
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,0,0,5
Residential,Residential,1000.0,7.5,1.5,5
Residential,Industry & commerce,11.25,0.75,0.07500000000000001,5
Residential,Recreation areas,22.5,4.759747124505786,0.47597471245057865,5
Residential,Forest,0,0,0,5
Industry & commerce,Arable land,0,0,0,5
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,0,0,5
Industry & commerce,Industry & commerce,1000.0,78.0193260011777,7.8019326001177705,5
Industry & commerce,Recreation areas,0,6.8883707497266045,0.6888370749726604,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,70.31789337587279,7.031789337587279,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,0.75,0.07500000000000001,5
Recreation areas,Industry & commerce,0,0.75,0.15000000000000002,5
Recreation areas,Recreation areas,1000.0,51.47084275039958,5.147084275039958,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,0,0,0,5
Forest,Permanent crops,0,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,11.25,0,0,5
Forest,Residential,0,0,0,5
Forest,Industry & commerce,0,0,0,5
Forest,Recreation areas,0,0,0,5
Forest,Forest,500.0,11.145618000168241,1.1145618000168243,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,0,0,5
Road & rail,Industry & commerce,0,0,0,5
Road & rail,Recreation areas,0,0,0,5
Road & rail,Forest,0,0,0,5
Port area,Arable land,0,0,0,5
Port area,Permanent crops,0,0,0,5
Port area,Pastures,0,0,0,5
Port area,Agricultural areas,0,0,0,5
Port area,Residential,0,0,0,5
Port area,Industry & commerce,0,0,0,5
Port area,Recreation areas,0,0,0,5
Port area,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,0,0,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,0,0,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
Mine & dump sites,Arable land,0,0,0,5
Mine & dump sites,Permanent crops,0,39.00966300058885,3.9009663000588852,5
Mine & dump sites,Pastures,0,41.951348501388004,4.195134850138801,5
Mine & dump sites,Agricultural areas,0,0,0,5
Mine & dump sites,Residential,0,0,0,5
Mine & dump sites,Industry & commerce,0,0,0,5
Mine & dump sites,Recreation areas,0,0,0,5
Mine & dump sites,Forest,0,0,0,5
Fresh water,Arable land,0,0,0,5
Fresh water,Permanent crops,0,0,0,5
Fresh water,Pastures,0,0,0,5
Fresh water,Agricultural areas,0,37.38353924943218,3.7383539249432185,5
Fresh water,Residential,0,0,0,5
Fresh water,Industry & commerce,0,0,0,5
Fresh water,Recreation areas,11.25,1.5,0.15000000000000002,5
Fresh water,Forest,0,0,0,5
Marine water,Arable land,0,0,0,5
Marine water,Permanent crops,0,0,0,5
Marine water,Pastures,0,0,0,5
Marine water,Agricultural areas,0,0,0,5
Marine water,Residential,0,0,0,5
Marine water,Industry & commerce,0,0,0,5
Marine water,Recreation areas,0,0,0,5
Marine water,Forest,0,0,0,5
