From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,767.5174871967271,0.09037082053255133,0.0197786285099,0.127033908782
Industry & commerce,Industry & commerce,0,1000.0,0.09037082053255133,0.0197786285099,0.127033908782
Forest,Forest,0,278.16060532283115,0.08558649481027301,0.0168759408534,0.129586532759
Recreation areas,Recreation areas,0,1000.0,0.08558649481027301,0.0168759408534,0.129586532759
Agricultural areas,Agricultural areas,0,250.0,0.08558649481027301,0.0168759408534,0.129586532759
Pastures,Pastures,0,896.6744387541011,0.09318999913967034,0.0180663034279,0.14264348071
Permanent crops,Permanent crops,0,916.4078649987382,0.09329814205727784,0.0180801901924,0.142844404181
Arable land,Arable land,0,307.76074468978703,0.09718495026308185,0.018120272607,0.152361012623
Residential,Residential,1,45.08497187473712,0.10412161717622022,0.0191049016105,0.164779534888
Industry & commerce,Industry & commerce,1,75.89070237595689,0.10474183061447181,0.0190738636599,0.166485258236
Forest,Forest,1,15.905365124674027,0.10409690037457589,0.0185540489526,0.167472006173
Recreation areas,Recreation areas,1,80.14794962639853,0.10771356172925103,0.018756064151,0.175503583568
Agricultural areas,Agricultural areas,1,5.572809000084121,0.1115096092890098,0.0137154557534,0.210196744456
Pastures,Pastures,1,4.759747124505786,0.11465523632681918,0.0138433098798,0.217421541418
Permanent crops,Permanent crops,1,41.13828662580967,0.11528864403677432,0.0139789479402,0.218326870391
Arable land,Arable land,1,16.25,0.11528864403677432,0.0139789479402,0.218326870391
Forest,Residential,0,38.19660112501052,0.11554765628860217,0.0140498203365,0.218620039039
Agricultural areas,Residential,0,45.08497187473712,0.1158590204429401,0.0140527212526,0.219383944844
Arable land,Residential,0,23.75,0.1158590204429401,0.0140527212526,0.219383944844
Natural areas,Residential,0,23.75,0.1158590204429401,0.0140527212526,0.219383944844
Forest,Industry & commerce,0,19.34955049953733,0.11604615248204564,0.0140563035562,0.219833863424
Residential,Industry & commerce,0,11.875,0.11604615248204564,0.0140563035562,0.219833863424
Agricultural areas,Industry & commerce,0,42.453848375452154,0.11759036323881762,0.0140393277617,0.223779269289
Permanent crops,Industry & commerce,0,11.875,0.11759036323881762,0.0140393277617,0.223779269289
Arable land,Industry & commerce,0,23.75,0.11759036323881762,0.0140393277617,0.223779269289
Natural areas,Industry & commerce,0,23.75,0.11759036323881762,0.0140393277617,0.223779269289
Forest,Recreation areas,0,15.402865250609878,0.11765610852095065,0.0140526289765,0.22387712642
Forest,Agricultural areas,0,61.80339887498949,0.11775506895785488,0.0139425095625,0.224675124582
Forest,Permanent crops,0,22.79373587440063,0.1177988354873691,0.0139276723647,0.224858726895
Forest,Arable land,0,52.78640450004206,0.11868165947817216,0.0141159447108,0.226124425141
Industry & commerce,Recreation areas,0,11.875,0.11868165947817216,0.0141159447108,0.226124425141
Agricultural areas,Forest,0,23.104297875914817,0.11907440733666314,0.0142306656747,0.226532689968
Agricultural areas,Recreation areas,0,14.589803375031543,0.11909153808175776,0.0142113013736,0.226672338337
Agricultural areas,Permanent crops,0,47.5,0.11909153808175776,0.0142113013736,0.226672338337
Agricultural areas,Arable land,0,20.665112249179813,0.11916624853727038,0.0141965027669,0.226933107509
Pastures,Arable land,0,47.5,0.11916624853727038,0.0141965027669,0.226933107509
Permanent crops,Recreation areas,0,11.875,0.11916624853727038,0.0141965027669,0.226933107509
Permanent crops,Agricultural areas,0,11.875,0.11916624853727038,0.0141965027669,0.226933107509
Permanent crops,Arable land,0,23.75,0.11916624853727038,0.0141965027669,0.226933107509
Arable land,Forest,0,11.875,0.11916624853727038,0.0141965027669,0.226933107509
Arable land,Agricultural areas,0,23.75,0.11916624853727038,0.0141965027669,0.226933107509
Arable land,Pastures,0,47.5,0.11916624853727038,0.0141965027669,0.226933107509
Arable land,Permanent crops,0,93.92469112585174,0.11960493094548769,0.0142053406557,0.227985624085
Natural areas,Forest,0,49.34221912517876,0.11989911830011675,0.0141573541207,0.228961025147
Natural areas,Recreation areas,0,23.75,0.11989911830011675,0.0141573541207,0.228961025147
Natural areas,Agricultural areas,0,23.75,0.11989911830011675,0.0141573541207,0.228961025147
Natural areas,Permanent crops,0,65.55814625136699,0.12016377212267688,0.0142124227067,0.229347316773
Natural areas,Arable land,0,12.461179749810725,0.12021328514916634,0.0142119268499,0.229473578623
Mine & dump sites,Residential,1,3.25,0.12021328514916634,0.0142119268499,0.229473578623
Road & rail,Residential,1,6.5,0.12021328514916634,0.0142119268499,0.229473578623
Recreation areas,Residential,1,3.25,0.12021328514916634,0.0142119268499,0.229473578623
Industry & commerce,Residential,1,58.359213500126195,0.11984649840515298,0.0127335961725,0.235948265151
Agricultural areas,Residential,1,21.478174124758148,0.11120151667878476,0.00779330582145,0.23903726259
Natural areas,Residential,1,25.735421375199785,0.11340964832828342,0.00843551000643,0.241346570789
Mine & dump sites,Industry & commerce,1,36.88103937536803,0.11357507280361409,0.00838070190573,0.24203417248
Recreation areas,Industry & commerce,1,20.162612375115664,0.1138371655815825,0.00836712808702,0.242757273519
Residential,Industry & commerce,1,25.735421375199785,0.11294273631832696,0.00757057003895,0.244503990601
Agricultural areas,Industry & commerce,1,14.589803375031543,0.11430013441206749,0.00727853362533,0.249357667904
Arable land,Industry & commerce,1,9.016994374947423,0.11454130945330614,0.00736982709558,0.249504138155
