theta_cp,FK,FKS,CLU
0,0.871781995,0.037623287,0.020092226
0.0025,0.871744662,0.039117678,0.02041584
0.005,0.871688691,0.040719762,0.020765262
0.0075,0.871709891,0.042421178,0.02108901
0.01,0.871792268,0.044534592,0.021424815
0.0125,0.871743564,0.046396237,0.021815556
0.015,0.871721341,0.048367422,0.022145195
0.0175,0.871609291,0.04997325,0.022555089
0.02,0.871496831,0.05183795,0.023020234
0.0225,0.871306598,0.053558274,0.023483474
0.025,0.871162831,0.05545289,0.023897396
0.0275,0.87094433,0.057431894,0.024409269
0.03,0.870613053,0.059045734,0.024867828
0.0325,0.870433145,0.061400447,0.025329111
0.035,0.870135667,0.063594317,0.025882822
0.0375,0.869749263,0.065805162,0.026450469
0.04,0.869313368,0.067393622,0.026982713
0.0425,0.868763843,0.069153336,0.027564682
0.045,0.868209421,0.070849607,0.028104302
0.0475,0.867698047,0.072758258,0.028613214
0.05,0.867051308,0.074650575,0.029124598
