from,to,y0,y1,y2,xe
Natural areas,Arable land,12.461179749810725,0,0,5
Natural areas,Permanent crops,65.55814625136699,3.25,0.325,5
Natural areas,Pastures,0,0,0,5
Natural areas,Agricultural areas,23.75,3.25,0.325,5
Natural areas,Residential,23.75,25.735421375199785,2.5735421375199787,5
Natural areas,Industry & commerce,23.75,3.25,0.325,5
Natural areas,Recreation areas,23.75,6.5,0.65,5
Natural areas,Forest,49.34221912517876,13.0,0.65,5
Arable land,Arable land,307.76074468978703,16.25,1.625,5
Arable land,Permanent crops,93.92469112585174,3.25,0.325,4
Arable land,Pastures,47.5,6.5,0.65,5
Arable land,Agricultural areas,23.75,3.25,0.325,5
Arable land,Residential,23.75,0,0,5
Arable land,Industry & commerce,23.75,9.016994374947423,0.9016994374947424,5
Arable land,Recreation areas,0,0,0,5
Arable land,Forest,11.875,0,0,5
Permanent crops,Arable land,23.75,3.25,0.325,5
Permanent crops,Permanent crops,916.4078649987382,41.13828662580967,4.113828662580967,5
Permanent crops,Pastures,0,0,0,5
Permanent crops,Agricultural areas,11.875,0,0,5
Permanent crops,Residential,0,0,0,5
Permanent crops,Industry & commerce,11.875,0,0,5
Permanent crops,Recreation areas,11.875,0,0,5
Permanent crops,Forest,0,0,0,5
Pastures,Arable land,47.5,13.0,1.3,5
Pastures,Permanent crops,0,0,0,5
Pastures,Pastures,896.6744387541011,4.759747124505786,0.47597471245057865,5
Pastures,Agricultural areas,0,0,0,5
Pastures,Residential,0,0,0,5
Pastures,Industry & commerce,0,0,0,5
Pastures,Recreation areas,0,0,0,5
Pastures,Forest,0,0,0,5
Agricultural areas,Arable land,20.665112249179813,0,0,5
Agricultural areas,Permanent crops,47.5,3.25,0.325,5
Agricultural areas,Pastures,0,0,0,5
Agricultural areas,Agricultural areas,250.0,5.572809000084121,0.5572809000084121,5
Agricultural areas,Residential,45.08497187473712,21.478174124758148,2.1478174124758147,5
Agricultural areas,Industry & commerce,42.453848375452154,14.589803375031543,1.4589803375031545,5
Agricultural areas,Recreation areas,14.589803375031543,0,0,5
Agricultural areas,Forest,23.104297875914817,0,0,5
Residential,Arable land,0,0,0,5
Residential,Permanent crops,0,0,0,5
Residential,Pastures,0,0,0,5
Residential,Agricultural areas,0,3.25,0.325,5
Residential,Residential,767.5174871967271,45.08497187473712,4.508497187473712,5
Residential,Industry & commerce,11.875,25.735421375199785,2.5735421375199787,5
Residential,Recreation areas,0,3.25,0.325,5
Residential,Forest,0,0,0,5
Industry & commerce,Arable land,0,0,0,5
Industry & commerce,Permanent crops,0,0,0,5
Industry & commerce,Pastures,0,0,0,5
Industry & commerce,Agricultural areas,0,0,0,5
Industry & commerce,Residential,0,58.359213500126195,5.83592135001262,5
Industry & commerce,Industry & commerce,1000.0,75.89070237595689,7.589070237595689,5
Industry & commerce,Recreation areas,11.875,6.5,0.65,5
Industry & commerce,Forest,0,0,0,5
Recreation areas,Arable land,0,0,0,5
Recreation areas,Permanent crops,0,0,0,5
Recreation areas,Pastures,0,0,0,5
Recreation areas,Agricultural areas,0,0,0,5
Recreation areas,Residential,0,3.25,0.325,5
Recreation areas,Industry & commerce,0,20.162612375115664,2.0162612375115665,5
Recreation areas,Recreation areas,1000.0,80.14794962639853,8.014794962639852,5
Recreation areas,Forest,0,0,0,5
Forest,Arable land,52.78640450004206,0,0,5
Forest,Permanent crops,22.79373587440063,0,0,5
Forest,Pastures,0,0,0,5
Forest,Agricultural areas,61.80339887498949,3.25,0.325,5
Forest,Residential,38.19660112501052,0,0,5
Forest,Industry & commerce,19.34955049953733,0,0,5
Forest,Recreation areas,15.402865250609878,3.25,0.325,3
Forest,Forest,278.16060532283115,15.905365124674027,1.590536512467403,5
Road & rail,Arable land,0,0,0,5
Road & rail,Permanent crops,0,0,0,5
Road & rail,Pastures,0,0,0,5
Road & rail,Agricultural areas,0,0,0,5
Road & rail,Residential,0,6.5,0.65,5
Road & rail,Industry & commerce,0,0,0,5
Road & rail,Recreation areas,0,6.5,1.3,5
Road & rail,Forest,0,0,0,5
Port area,Arable land,0,0,0,5
Port area,Permanent crops,0,0,0,5
Port area,Pastures,0,0,0,5
Port area,Agricultural areas,0,0,0,5
Port area,Residential,0,0,0,5
Port area,Industry & commerce,0,0,0,5
Port area,Recreation areas,11.875,13.0,1.3,5
Port area,Forest,0,0,0,5
Airports,Arable land,0,0,0,5
Airports,Permanent crops,0,0,0,5
Airports,Pastures,0,0,0,5
Airports,Agricultural areas,0,0,0,5
Airports,Residential,0,0,0,5
Airports,Industry & commerce,0,0,0,5
Airports,Recreation areas,0,0,0,5
Airports,Forest,0,0,0,5
Mine & dump sites,Arable land,0,0,0,5
Mine & dump sites,Permanent crops,0,0,0,5
Mine & dump sites,Pastures,0,0,0,5
Mine & dump sites,Agricultural areas,0,6.5,0.65,5
Mine & dump sites,Residential,0,3.25,0.325,5
Mine & dump sites,Industry & commerce,0,36.88103937536803,3.6881039375368037,5
Mine & dump sites,Recreation areas,0,6.5,0.65,5
Mine & dump sites,Forest,0,0,0,5
Fresh water,Arable land,0,0,0,5
Fresh water,Permanent crops,0,0,0,5
Fresh water,Pastures,0,3.25,0.325,4
Fresh water,Agricultural areas,0,0,0,5
Fresh water,Residential,0,0,0,5
Fresh water,Industry & commerce,0,0,0,5
Fresh water,Recreation areas,0,0,0,5
Fresh water,Forest,0,0,0,5
Marine water,Arable land,0,0,0,5
Marine water,Permanent crops,0,0,0,5
Marine water,Pastures,0,0,0,5
Marine water,Agricultural areas,0,0,0,5
Marine water,Residential,0,0,0,5
Marine water,Industry & commerce,0,0,0,5
Marine water,Recreation areas,0,0,0,5
Marine water,Forest,0,0,0,5
