From,To,Distance,Value,FKS,AAWCE,WS
Residential,Residential,0,896.6744387541011,0.11939406148723096,0.0462968636788,0.0670008353241
Industry & commerce,Industry & commerce,0,1000.0,0.11939406148723096,0.0462968636788,0.0670008353241
Forest,Forest,0,691.4628503064273,0.11964899410138949,0.0463136184145,0.0675543931808
Recreation areas,Recreation areas,0,500.0,0.11964899410138949,0.0463136184145,0.0675543931808
Agricultural areas,Agricultural areas,0,860.9763353203076,0.12752788362850911,0.0338942265524,0.149348576309
Pastures,Pastures,0,996.2312509445189,0.12814198851218495,0.033642024589,0.152144848335
Permanent crops,Permanent crops,0,968.0706456216877,0.13388288034335763,0.0297395835488,0.186009283114
Arable land,Arable land,0,536.474508437579,0.12944758512083782,0.0069155440095,0.289041242755
Residential,Residential,1,16.718427000252362,0.1311485328606132,0.00482413581768,0.303750653063
Industry & commerce,Industry & commerce,1,99.18693812442166,0.14704404380426286,0.0072903356254,0.331158431384
Forest,Forest,1,9.016994374947423,0.14694860829334483,0.00600758080019,0.337333616732
Recreation areas,Recreation areas,1,29.179606750063087,0.14988648043207284,0.00561376879033,0.346647357129
Agricultural areas,Agricultural areas,1,26.54848325077812,0.14991491519511962,0.00559538259971,0.346810374989
Pastures,Pastures,1,17.531488875830696,0.14985371723260543,0.00554298130408,0.346919386561
Permanent crops,Permanent crops,1,39.00966300058885,0.15013280626019493,0.00548154009477,0.347924315177
Arable land,Arable land,1,23.104297875914817,0.15029195539475362,0.00401143126268,0.355672732174
Agricultural areas,Residential,0,79.83738762488433,0.1504612332448617,0.00391928844206,0.356556640902
Arable land,Residential,0,50.0,0.1504612332448617,0.00391928844206,0.356556640902
Natural areas,Residential,0,22.291236000336482,0.1504322542667147,0.00368889842606,0.357636143536
Residential,Industry & commerce,0,12.5,0.1504322542667147,0.00368889842606,0.357636143536
Agricultural areas,Industry & commerce,0,12.5,0.1504322542667147,0.00368889842606,0.357636143536
Arable land,Industry & commerce,0,96.5558146251367,0.16034455764718064,0.00413065773558,0.38020810544
Natural areas,Industry & commerce,0,14.087303500967394,0.1605806863833629,0.00415512949118,0.380676068502
Forest,Recreation areas,0,12.5,0.1605806863833629,0.00415512949118,0.380676068502
Forest,Arable land,0,12.5,0.1605806863833629,0.00415512949118,0.380676068502
Residential,Recreation areas,0,12.5,0.1605806863833629,0.00415512949118,0.380676068502
Agricultural areas,Recreation areas,0,60.99033699941115,0.16059390389619618,0.00414863709759,0.380741574253
Agricultural areas,Permanent crops,0,25.0,0.16059390389619618,0.00414863709759,0.380741574253
Agricultural areas,Arable land,0,12.5,0.16059390389619618,0.00414863709759,0.380741574253
Permanent crops,Arable land,0,12.5,0.16059390389619618,0.00414863709759,0.380741574253
Arable land,Forest,0,12.5,0.16059390389619618,0.00414863709759,0.380741574253
Arable land,Recreation areas,0,23.606797749978966,0.16067225509381527,0.00415839109996,0.380888682235
Arable land,Agricultural areas,0,50.0,0.16067225509381527,0.00415839109996,0.380888682235
Arable land,Permanent crops,0,50.0,0.16067225509381527,0.00415839109996,0.380888682235
Natural areas,Forest,0,54.60446612374869,0.16072704596732523,0.00414128190567,0.38111120539
Natural areas,Recreation areas,0,26.237921249263934,0.16072825824811146,0.00413490662525,0.381146112494
Natural areas,Agricultural areas,0,25.0,0.16072825824811146,0.00413490662525,0.381146112494
Natural areas,Permanent crops,0,85.41019662496845,0.1608089592397184,0.00412838342319,0.381380480983
Natural areas,Arable land,0,9.327556376461608,0.16074306861971546,0.00382255490669,0.382744897016
Mine & dump sites,Residential,1,20.162612375115664,0.16016513754428752,0.00336297671477,0.383597960287
Recreation areas,Residential,1,11.958679875746576,0.16149493281766816,0.00324406010178,0.387517031535
Industry & commerce,Residential,1,6.07530887414827,0.16150590501965975,0.00320806118453,0.387724456627
Pastures,Residential,1,2.128623625220819,0.1616363523209613,0.00320130374063,0.388084362099
Arable land,Residential,1,5.0,0.1616363523209613,0.00320130374063,0.388084362099
Mine & dump sites,Industry & commerce,1,60.48783712534701,0.1635742470907618,0.0030806659,0.393532288227
Airports,Industry & commerce,1,75.89070237595689,0.16679073661491875,0.00314378700065,0.401257906534
Road & rail,Industry & commerce,1,74.57514062631441,0.16806952331692201,0.00317414363311,0.404303090127
Residential,Industry & commerce,1,20.162612375115664,0.16869366688463092,0.00316735489098,0.405897392757
Arable land,Industry & commerce,1,7.701432625304939,0.17031966085314637,0.0033868192072,0.408865056097
Mine & dump sites,Recreation areas,1,20.0,0.17031966085314637,0.0033868192072,0.408865056097
Mine & dump sites,Permanent crops,1,5.0,0.17031966085314637,0.0033868192072,0.408865056097
Industry & commerce,Recreation areas,1,9.016994374947423,0.1711928912333442,0.00343694934425,0.410797481362
Industry & commerce,Arable land,1,5.070309126019971,0.1712251945648058,0.00342408679202,0.410942552452
Residential,Recreation areas,1,5.0,0.1712251945648058,0.00342408679202,0.410942552452
Agricultural areas,Permanent crops,1,19.34955049953733,0.17136284665730653,0.00342373542927,0.411288439497
Arable land,Agricultural areas,1,6.07530887414827,0.17136335840667727,0.00341285297298,0.411344131152
Arable land,Permanent crops,1,5.0,0.17136335840667727,0.00341285297298,0.411344131152
Natural areas,Forest,1,5.0,0.17136335840667727,0.00341285297298,0.411344131152
Natural areas,Recreation areas,1,5.0,0.17136335840667727,0.00341285297298,0.411344131152
