theta_st,FK,FKS,CLU,,FK (Scaled),FKS (Scaled),FK (comp),CLU
0,0.892075926,0.003192862,0.059890067,,0.946037963,0.501596431,0.723817197,0.059890067
0.005,0.894427352,0.030361849,0.05288826,,0.947213676,0.515180924,0.7311973,0.05288826
0.01,0.898096693,0.085093787,0.039709029,,0.949048347,0.542546893,0.74579762,0.039709029
0.015,0.897277368,0.109193425,0.029287549,,0.948638684,0.554596712,0.751617698,0.029287549
0.02,0.894510168,0.118138605,0.021968933,,0.947255084,0.559069302,0.753162193,0.021968933
0.025,0.892498388,0.12148268,0.01782802,,0.946249194,0.56074134,0.753495267,0.01782802
0.03,0.89145754,0.122863956,0.014770256,,0.94572877,0.561431978,0.753580374,0.014770256
0.035,0.891003089,0.124454726,0.012057527,,0.945501544,0.562227363,0.753864454,0.012057527
0.04,0.890532857,0.125663172,0.009529748,,0.945266428,0.562831586,0.754049007,0.009529748
0.045,0.889748648,0.125813635,0.010239936,,0.944874324,0.562906818,0.753890571,0.010239936
0.05,0.888308849,0.125610786,0.013746811,,0.944154425,0.562805393,0.753479909,0.013746811
0.055,0.886238564,0.124160582,0.017040617,,0.943119282,0.562080291,0.752599786,0.017040617
0.06,0.883717913,0.123585208,0.020356759,,0.941858957,0.561792604,0.75182578,0.020356759
0.065,0.88069119,0.12293448,0.023836173,,0.940345595,0.56146724,0.750906417,0.023836173
0.07,0.87733118,0.122371058,0.02729117,,0.93866559,0.561185529,0.749925559,0.02729117
0.075,0.873709856,0.121666545,0.030740177,,0.936854928,0.560833272,0.7488441,0.030740177
0.08,0.870035648,0.120847462,0.03402279,,0.935017824,0.560423731,0.747720777,0.03402279
0.085,0.866312334,0.120562841,0.037075243,,0.933156167,0.560281421,0.746718794,0.037075243
0.09,0.862691389,0.120018911,0.039956814,,0.931345694,0.560009455,0.745677575,0.039956814
0.095,0.859196731,0.11938595,0.042569874,,0.929598365,0.559692975,0.74464567,0.042569874
0.1,0.855552043,0.118787296,0.044964006,,0.927776022,0.559393648,0.743584835,0.044964006
